rewire_id,post,true_label,n_triples_retrieved,kg_context,explanation,Relevance,Consistency,Usefulness
sexism2022_english-17974,This website needs stronger digital technology... shit takes way too long to post and view... need more RAM bitches!,3. animosity,1,"-(women, EXPRESSED_ANIMOSITY_TOWARDS, bitching on the internet)(relevance: 0.302348256111145)","The post is classified under ""3. animosity"" primarily due to the use of the derogatory term ""bitches."" This aligns with the knowledge graph's understanding of ""bitching on the internet"" as a form of expressed animosity directed towards others, often associated with women. The aggressive and dismissive tone of the post, amplified by this insult, clearly demonstrates animosity.",1,1,1
sexism2022_english-8218,Trump is Bibi's bitch-boi! White Helmets Plotting False Flag Chemical Attack in Southern Syria – Sources [URL] #syria #bibisbitch,3. animosity,3,"-(the benghazi whore, THREATENED_WITH, strung up by her worthless neck)(relevance: 0.3598049581050873)
-(jimbo, EXPRESSED_ANIMOSITY_TOWARDS, bimbo)(relevance: 0.3558734059333801)
-(liberal feminist sjw, STEREOTYPED_AS, wearing burka)(relevance: 0.3460187315940857)","The post exhibits animosity through the derogatory and demeaning phrase ""Bibi's bitch-boi,"" which reduces a political figure to a subservient and objectified role, mirroring the animosity found in relations like ""jimbo, EXPRESSED_ANIMOSITY_TOWARDS, bimbo."" The aggressive and contemptuous tone, particularly in the hashtag ""#bibisbitch,"" directly conveys hostility and disdain towards the subject.",1,1,1
sexism2022_english-11638,How do you make Lady Gaga scream? Bite her clit off.,"1. threats, plans to harm and incitement",3,"-(ms marvel doll, EXPRESSED_ANIMOSITY_TOWARDS, clit chopped off)(relevance: 0.44001615047454834)
-(virgin woman, STEREOTYPED_AS, needs to moan a little)(relevance: 0.42267000675201416)
-(rednecks, EXPRESSED_ANIMOSITY_TOWARDS, man clits)(relevance: 0.417545884847641)","The post directly describes a violent act of mutilation (""Bite her clit off"") directed at a specific individual, Lady Gaga. This falls under ""threats, plans to harm and incitement"" because it explicitly outlines a plan to inflict severe physical harm. While not a direct match in the provided knowledge graph, the relation ""ms marvel doll, EXPRESSED_ANIMOSITY_TOWARDS, clit chopped off"" demonstrates a similar pattern of aggressive, violent language directed at a female figure, reinforcing the classification of the Lady Gaga post as a threat.",1,3,2
sexism2022_english-595,That black whore won't cook she will see it as beneath her no doubt.,2. derogation,3,"-(woman, FRAMED_AS_INFERIOR, can cook)(relevance: 0.5620608329772949)
-(she, STEREOTYPED_AS, whore)(relevance: 0.5181540846824646)
-(white women, STEREOTYPED_AS, dishonorable whores)(relevance: 0.5148245096206665)","The post is classified under ""derogation"" because it expresses contempt and disrespect towards the individual. The phrase ""black whore"" directly employs a derogatory term, linking it to racial and sexual slurs. This aligns with the knowledge graph's identification of ""whore"" as a stereotype used for women, and similar to how ""white women"" can be stereotyped as ""dishonorable whores,"" this post uses the slur to demean the target, implying inferiority.",2,3,3
sexism2022_english-2732,"fuck. single. mothers. (but don’t actually fuck them, or youll get trapped for 18 years)",2. derogation,3,"-(single mothers, STEREOTYPED_AS, bitches)(relevance: 0.5998761057853699)
-(single moms, FRAMED_AS_INFERIOR, stay away from)(relevance: 0.5930849313735962)
-(single mothers, FRAMED_AS_INFERIOR, worthless)(relevance: 0.5835897326469421)","This post exemplifies ""2. derogation"" by framing single mothers as a group to be avoided due to negative consequences. The phrase ""trapped for 18 years"" directly implies a burdensome and undesirable situation associated with them, echoing the sentiment of single mothers being framed as inferior or a group to ""stay away from"" (relevance: 0.5930849313735962). The aggressive opening ""fuck. single. mothers."" also serves as a direct expression of contempt, contributing to their derogation.",3,3,3
sexism2022_english-194,"Clearly I meant both. I'd rather regularly fuck a 7 that's fun to chill with than a 9 that makes me question reality and stresses me tf out. That's why the quote goes ""For every hot chick out there, there's a dude who's tired of fucking her.""",2. derogation,3,"-(hottest girl in office, FRAMED_AS_INFERIOR, 10 by comparison)(relevance: 0.4446404278278351)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, hb8.5 rating)(relevance: 0.43929237127304077)
-(bitches, STEREOTYPED_AS, having 4 or 6 fingers)(relevance: 0.41731348633766174)","The post exemplifies ""derogation"" by demeaning women. Phrases like ""7 that's fun to chill with than a 9 that makes me question reality and stresses me tf out"" and the quote ""For every hot chick out there, there's a dude who's tired of fucking her"" suggest women are objects of sexual satisfaction and a source of stress, aligning with the knowledge graph's patterns of women being ""EXPRESSED_ANIMOSITY_TOWARDS"" or being ""FRAMED_AS_INFERIOR"" in value compared to men. This language reduces women to their perceived sexual utility and emotional burden.",1,3,3
sexism2022_english-10028,Feminism is bad for women. More research on why it hurt families and women. [URL] #GabFam #feminsim,4. prejudiced discussions,3,"-(feminism, FRAMED_AS_INFERIOR, caused negative outcomes)(relevance: 0.6189334988594055)
-(women, STEREOTYPED_AS, infected by #feminism)(relevance: 0.6065980195999146)
-(feminists, FRAMED_AS_INFERIOR, trying to annihilate male sex)(relevance: 0.5949298143386841)","This post is classified under ""4. prejudiced discussions"" because it frames feminism as harmful and having negative consequences for women and families, aligning with the knowledge graph relation ""(feminism, FRAMED_AS_INFERIOR, caused negative outcomes)"". The phrases ""Feminism is bad for women"" and ""hurt families and women"" directly express this prejudiced viewpoint, suggesting a harmful impact without evidence, thereby promoting a biased narrative.",3,3,3
sexism2022_english-17442,"I’m like seeing 2 girls right now, thinking of maybe adding another 1 or 2. No I’m not trolling, it’s doable, I need to make sure “they” are not needy haha",3. animosity,3,"-(chicks, STEREOTYPED_AS, not down for a threesome)(relevance: 0.4418123960494995)
-(chick, STEREOTYPED_AS, asking too many questions)(relevance: 0.3834269046783447)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, needy behavior)(relevance: 0.35891544818878174)","The post exhibits animosity by stereotyping women as potentially ""needy."" The phrase ""make sure 'they' are not needy haha"" directly reflects the knowledge graph relation of ""women, EXPRESSED_ANIMOSITY_TOWARDS, needy behavior."" This suggests a negative sentiment or aversion towards a perceived characteristic often attributed to women, aligning with the ""animosity"" category.",1,2,1
sexism2022_english-1914,"Awww, c'mon. Just be a woman about it and slap an emoticon on there. Bitches love emoticons.",3. animosity,3,"-(""this bitch"", EXPRESSED_ANIMOSITY_TOWARDS, ""women"")(relevance: 0.47506916522979736)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, bitches)(relevance: 0.4673933982849121)
-(bitch, STEREOTYPED_AS, woman)(relevance: 0.4625488817691803)","The post exemplifies ""3. animosity"" due to the derogatory use of the term ""bitches,"" which, according to the knowledge graph (""bitch, STEREOTYPED_AS, woman""), is clearly a slur directed at women. This usage, combined with the dismissive and belittling tone implied by ""just be a woman about it,"" strongly suggests animosity towards women.",2,2,3
sexism2022_english-6980,"Yeah mate , in my 3+ years working in IT i have learned almost all the older ladies that work in this line have an agenda of their own and they seem to target/bully the weakest person in this office just to feel better about themself",2. derogation,3,"-(older women, FRAMED_AS_INFERIOR, trivialized actions)(relevance: 0.5551312565803528)
-(female employees, STEREOTYPED_AS, prying)(relevance: 0.5505008101463318)
-(women, FRAMED_AS_INFERIOR, quota hire)(relevance: 0.5401859283447266)","This post exemplifies ""derogation"" by framing ""older ladies"" in IT as having a malicious ""agenda"" and intentionally ""target[ing]/bully[ing]"" others to ""feel better about themself."" This aligns with the knowledge graph concept of ""(older women, FRAMED_AS_INFERIOR, trivialized actions),"" suggesting a portrayal of their actions as petty and self-serving, thus diminishing their professional standing. The generalization and negative characterization of an entire group based on age and gender contribute to its derogation.",3,2,3
sexism2022_english-2862,Amy Schumer complaining about two black male comics being paid more than her from Netflix???? Check your white privilege bitch! [URL],3. animosity,3,"-(white women, STEREOTYPED_AS, 10/10 movie actresses)(relevance: 0.5179463624954224)
-(black women, ASSIGNED_TO_ROLE, female privilege)(relevance: 0.5153204202651978)
-(black bitches, EXPRESSED_ANIMOSITY_TOWARDS, race of woman)(relevance: 0.5088485479354858)","The post exhibits ""animosity"" through the use of offensive language directed at the target, specifically ""bitch."" This aligns with the knowledge graph relation `black bitches, EXPRESSED_ANIMOSITY_TOWARDS, race of woman`, suggesting a general pattern of animosity expressed towards women based on their race, which can be inferred to apply to the insult used here. The aggressive and demeaning tone further reinforces the classification of animosity.",1,2,2
sexism2022_english-18026,"aww look the fatty used the ""force unfollow"" ""i'm a little pussy"" button! what a fucking weak-willed little bitch! fattphreys is so dumb he thinks self-censorship is self-control. lol as if a fat knows what self-control is! [USER]",3. animosity,3,"-(dead fat commie slut, EXPRESSED_ANIMOSITY_TOWARDS, [user])(relevance: 0.5247784852981567)
-(fat women, STEREOTYPED_AS, untrustworthy)(relevance: 0.49428898096084595)
-(bitch, STEREOTYPED_AS, fat)(relevance: 0.4909650683403015)","This post exhibits animosity through direct insults and derogatory language like ""fatty,"" ""pussy,"" and ""bitch."" The knowledge graph supports this with relations such as ""(bitch, STEREOTYPED_AS, fat),"" indicating ""bitch"" is used in a context associated with fatness and negativity. The overall tone is aggressive and demeaning, expressing clear hostility towards the user.",1,1,2
sexism2022_english-19966,It's part of the gynocentric society's effort to abolish all standards for women.,4. prejudiced discussions,3,"-(society, IDEOLOGICALLY_DISCREDITED, gynocentric)(relevance: 0.6484161615371704)
-(most women, STEREOTYPED_AS, modifying the body for sex)(relevance: 0.55451899766922)
-(women, FRAMED_AS_INFERIOR, birth control)(relevance: 0.5434499979019165)","The post exemplifies ""4. prejudiced discussions"" due to its use of ""gynocentric society,"" which, according to the knowledge graph, is associated with IDEOLOGICALLY_DISCREDITED ideas about society. The phrase ""abolish all standards for women"" suggests a prejudiced belief that women are inherently incapable of upholding standards, or that any societal changes benefiting women are inherently detrimental and aimed at lowering standards. This aligns with the broader theme of prejudiced discussions by framing women and societal changes around them in a negative and conspiratorial light.",3,3,3
sexism2022_english-7362,"You know, boys, a nuclear reactor is a lot like a woman. You just have to read the manual and press the right buttons. ~Homer Simpson",2. derogation,3,"-(women, FRAMED_AS_INFERIOR, incapable of managing nuclear power)(relevance: 0.6256945133209229)
-(women engineers, FRAMED_AS_INFERIOR, use empowerment as excuse to be a slut)(relevance: 0.3706549406051636)
-(women, FRAMED_AS_INFERIOR, incapable of understanding physics)(relevance: 0.34306082129478455)","This post is an example of ""2. derogation"" because it frames women as inferior and incapable of complex tasks. The comparison of a nuclear reactor to a woman, suggesting one only needs to ""read the manual and press the right buttons,"" directly aligns with the knowledge graph relation that women are ""FRAMED_AS_INFERIOR, incapable of managing nuclear power"" and ""incapable of understanding physics."" The phrase ""press the right buttons"" implies a simplistic, almost passive, role for women, demeaning their intellect and capabilities.",1,1,1
